Source,Target,Type,Id,Label,Weight,capacity,distance
6,40,Directed,417,,1,-0.231339,6.074909
6,47,Directed,424,,1,-0.231339,6.074909
6,49,Directed,426,,1,-0.231339,6.074909
6,57,Directed,434,,1,-0.231339,6.074909
6,51,Directed,428,,1,-0.231339,6.074908
6,61,Directed,438,,1,-0.231339,6.074908
6,0,Directed,378,,1,-0.121643,5.727479
6,3,Directed,381,,1,-0.121643,5.727479
6,5,Directed,383,,1,-0.121643,5.727479
6,9,Directed,386,,1,-0.304961,4.960142
6,11,Directed,388,,1,-0.304961,4.960142
6,13,Directed,390,,1,-0.304961,4.960142
6,15,Directed,392,,1,-0.304961,4.960142
6,16,Directed,393,,1,-0.304961,4.960142
6,20,Directed,397,,1,-0.304961,4.960142
6,24,Directed,401,,1,-0.304961,4.960142
6,26,Directed,403,,1,-0.304961,4.960142
6,42,Directed,419,,1,-0.495055,4.527969
6,44,Directed,421,,1,-0.495055,4.527969
6,48,Directed,425,,1,-0.495055,4.527969
6,50,Directed,427,,1,-0.495055,4.527969
6,53,Directed,430,,1,-0.495055,4.527969
6,55,Directed,432,,1,-0.495055,4.527969
6,56,Directed,433,,1,-0.495055,4.527969
6,59,Directed,436,,1,-0.495055,4.527969
6,60,Directed,437,,1,-0.495055,4.527969
6,63,Directed,440,,1,-0.495055,4.527969
6,2,Directed,380,,1,-0.896093,4.049939
6,4,Directed,382,,1,-0.896093,4.049939
6,7,Directed,384,,1,-0.896093,4.049939
6,32,Directed,409,,1,-1.368367,3.50735
6,34,Directed,411,,1,-1.368367,3.50735
6,36,Directed,413,,1,-1.368367,3.50735
6,38,Directed,415,,1,-1.368367,3.50735
6,8,Directed,385,,1,-3.466065,2.863739
6,10,Directed,387,,1,-3.466065,2.863739
6,12,Directed,389,,1,-3.466065,2.863739
6,14,Directed,391,,1,-3.466065,2.863739
6,18,Directed,395,,1,-3.466065,2.863739
6,22,Directed,399,,1,-3.466065,2.863739
6,28,Directed,405,,1,-3.466065,2.863739
6,30,Directed,407,,1,-3.466065,2.863739
6,46,Directed,423,,1,-7.551904,2.02497
6,52,Directed,429,,1,-7.551904,2.02497
6,54,Directed,431,,1,-7.551904,2.02497
6,58,Directed,435,,1,-7.551904,2.02497
6,62,Directed,439,,1,-7.551904,2.02497
7,0,Directed,441,,1,0.001109,7.0147
7,40,Directed,480,,1,-0.231339,6.074909
7,41,Directed,481,,1,-0.231339,6.074909
7,48,Directed,488,,1,-0.231339,6.074909
7,50,Directed,490,,1,-0.231339,6.074909
7,56,Directed,496,,1,-0.231339,6.074909
7,60,Directed,500,,1,-0.231339,6.074909
7,1,Directed,442,,1,-0.121643,5.727479
7,2,Directed,443,,1,-0.121643,5.727479
7,4,Directed,445,,1,-0.121643,5.727479
